@trillballins, Apr 11, Man who lost his arm to exploding vape pen troubled cheated on his high school girlfriend with Stacy
@seamusmckracken, Apr 11, Top 5 ways hipsters die:1) Impaled by sushi roll 2) Run over by taco bus 3) Vaping at gym 4) Beard fire 5) Feelings hurt
@Wes10, 22h22 hours ago, rt if ur up to pitch in some money to buy a new vape. my bighit 9000 has been acting up. im just tryna blaze up some clouds with my bros!!!
@bnoonagot7, 1h1 hour ago, kids are really out there acting like being seen with someone vaping is the same as being caught huffing from a crackpipe calm down
@pentyhoe, 1h1 hour ago, the person next him was vaping but if yugyeom did vape what would be the damn problem? aint he grown ass man
@yugyeomvs, 2h2 hours ago, person: yo wanna vape? yugyeom: sorry i don't do drugs
@Buncahn, 24 hours ago, 4/20 Prayer: Now I lay me down to smoke I pray the lord my soul to toke If I should die before I get baked I pray the lord my soul to vape
@HarmfulOpinions, 4h4 hours ago, I will now address a terrible slanderous rumour being spread about me. There is zero evidence for this allegation. I do not vape.
@PenelopeSpecial, 11h11 hours ago, Vaping is gay af
@KyleDavidHall, 11h11 hours ago, Just landed and I can't wait to vape in another state 😇 what
@dmart2490, 13h13 hours ago, e-cig smokers r the worst.. just cause u "can" smoke inside doesn't mean u should. smoke ur douche flute elsewhere. 😒
@Sadieisonfire, Apr 18, cute date idea: watching vape trick vids in 360p for 3 hours together
@8bit_ghost, Apr 18, I can’t believe it my boyfriend’s recent vape juice purchase is literally called Thot Juice
@LuqmanPodolski, Apr 18, vape on
@jondaly, Apr 16, Vaping is a gateway to vaping harder and harder and eventually going pro.
@LilHermesxxx, Apr 16, If you ever feeling low in your feels... Just know professional vaping exist
@BelleDreamer7, I didn't think there would be something I found as disgusting as smoking...then came the vape.
@kanakosnakebot, *does vape tricks in front of sanae*
@TonyMantia, Vaping is pretty cool once you remember that's how popes are elected
@the49erbrat, Hey i vape too lol luv it !!! Still having problems  but I'm use to it now lol GREAT PICS & POSTS!!! Hello everyone!!! XO
@catlap, ARE MY FUCKING CO WORKERS ACTUALLY FUCKING VAPING IN THE BREAKROOM
@TempoBot, My vape broke
@CharlyMontonio, Officially lost my vape... My life is officially over... 😭
@h695XXpxGNkp2w2, *unplugs grandpas life support to charge my vape*
@MikeHilkert, Love when I'm driving and I see a 70 year old man pass me on the other side ripping clouds from his vape mod. Lol
@_volvata, "i think i might be a vapiosexual (attracted to intelligence and vaping)"
@notgoalie22, NEW IDEA: The Vapecorder™: a vape that is also a recorder Turn your nicotine fix into a nicoTUNE fix with the Vapecorder™!
@lizziiereyess, All I do is sit around and vape, I have no social life.
@TheRyanBeatty, the only time i want to smell your cotton candy vape is fucking never
@_theskinnygirl, just found out vaping can actually prevent you from getting STDs because literally no one wants to have sex with you
@_cambrennan, i think the worst thing about alliston is that they closed down the sexual health clinic and replaced it with a vape store.
@lordratsquirt, Help kids pretend to be adults by handing them an empty lipstick tube and telling them it's a "play vape".
@sadgaljaz, me: hi girl w/ a polar pop & vape pen: yeah the party was so lit i got so fucced up. i think i'm STILL high ahaha got any addys tho ?
@kendralehto, VAPING IS NOT COOL OK
@Muddin4Jesus, it'll be hard to see your sick vape cloud when you're on fire forever in hell homie
@stuart180, @Surgeon_General Smoked for 25yrs switched to #vaping 3 yrs ago #smokefree since Let's work together to give all smokers the opportunity
@connormcarthyy, Mothers against vaping and driving
@BuckyIsotope, ME: *bursts into son's room* ARE YOU SMOKING DOPE SON: No...I'm just vaping ME: oh my god it's worse than I thought you fucking nerd
@skycladmoondnsr, I just realised that this month is 1 year totally smoke free after 40 years of Marlboro's.  Yay Me.  Yay Vaping.  Yay Dessert flavors. :)
@RacheyyShipley, Don't even THINK about flirting with me if you don't vape. I strictly date vape gods.
@stuart180, You mean #vaping industry is replacing #tobacco thus harming your revenue. Never mind the lives it's saving eh #ecigs #harmreduction
@QueenMaureen22, ok whoever used their strawberry flavored vape to fog up the kfc bathroom... where is your mother
@LoveYouTrucy, *inside vape shop* me: no im not going to drink the vape juice but hypothetically if I WERE to drink it i'd live right?
@joelbass85, Vaping is so fucking gay 😂😂
@Kailix_, All I did was vape my life away today
@TheChampton, I'll say this I'd rather have a conversation with someone who's going to bring up anime girls than blow fucking vape in my face
@her_patton, just walked past an elderly couple who were both vaping😍💕
@tja7175, My breathing has improved  better lung function I save $ & got my senses of taste & smell back. I was a 26 yr smoker  quit by vaping.
@ProfessorKaos62, Just saw your mom at the vape shop
@Bohr_EDream, Second hand vape still causes homosexuality
@Custom025, I do have friends that vape i just don't want too
@owlbard, im making a bot for ash that just says "gotta have my vape" every hour
